virus	vírus,(3)vírus,(1)veneno,(1)peçonha,(1)influência deletéria,(1)elemento corrupto,(1)malignidade
shrink	encolher,(3)encolher,(3)diminuir,(1)retroceder,(1)fazer encolher,(1)ficar menor,(1)contrair-se,(1)estreitar-se,(1)enrugar-se
influence	influência,(3)influência,(3)influenciar,(2)influir,(1)prestígio,(1)ascendência,(1)preponderância,(1)indução,(1)autoridade moral,(1)exercer influência sobre
freezing	congelando,(3)congelação,(2)frio,(1)glacial,(1)indiferente,(1)reservado
concert	show,(3)concerto,(2)acordo,(1)combinação,(1)união,(1)concertar,(1)planejar,(1)entrar em acordo,(1)aconselhar-se
wreck	destruir,(3)destruir,(3)destruição,(3)naufrágio,(3)destroços,(2)ruína,(2)navio naufragado,(1)naufragar,(1)afundar,(1)demolir,(1)fazer naufragar,(1)meter a pique,(1)causar o naufrágio de,(1)soçobrar,(1)perda
partners	sócios
Massimo	
chain	cadeia,(3)cadeia,(3)corrente,(3)encadear,(1)série,(1)colar,(1)seqüência,(1)cordilheira,(1)grilhão,(1)trena,(1)grilho,(1)duplo-decâmetro,(1)prender com corrente,(1)medir,(1)escravizar,(1)fechar
birds	pássaros
walker	andador,(3)andador,(2)pedestre,(1)peão,(1)prostituta,(1)ave que não anda nem voa
life's	da vida
wire	fio,(3)arame,(1)fio metálico,(1)telegrama,(1)fio de arame,(1)telégrafo
technically	tecnicamente
presence	presença,(3)presença,(2)presente,(1)assistência,(1)aspecto,(1)porte,(1)atitude
blown	estourado,(1)desabrochado,(1)inchado,(1)esbaforido,(1)exausto,(1)distendido
anxious	ansioso,(3)ansioso,(2)inquieto,(2)desejoso,(2)aflito,(1)angustiante,(1)inquietante,(1)afoito,(1)abafado
cave	caverna,(3)caverna,(1)antro,(1)subterrâneo,(1)cisão,(1)escavar,(1)cavar
version	versão,(3)versão,(1)tradução,(1)interpretação,(1)descrição pessoal,(1)tema de latim
mickey	mickey
holidays	feriados,(3)feriados,(3)férias
cleared	limpo
wishes	desejos
survived	sobreviveu
caring	Cuidando
candles	velas
bound	limite,(3)limite,(3)obrigado,(2)salto,(2)pulo,(2)encadernado,(1)fronteira,(1)barreira,(1)ressalto,(1)sujeito,(1)compelido,(1)prestes a,(1)em direção a,(1)limitar,(1)delimitar,(1)confinar,(1)ressaltar,(1)ricochetear
related	relacionado,(3)relacionado,(2)ligado,(2)afim,(1)aparentado,(1)narrado,(1)contado
Gabrielle	
charm	charme,(3)charme,(3)encanto,(2)feitiço,(2)amuleto,(2)encantamento,(2)encantar,(1)atrativos,(1)sortilégio,(1)fetiche,(1)cativar,(1)fascinar,(1)dar prazer a
apple	maçã,(3)maçã,(1)macieira
yup	Sim
Texas	
pulse	pulso,(3)pulso,(3)pulsação,(3)pulsar,(1)batimento,(1)cadência,(1)palpitação,(1)vida,(1)emoção,(1)movimento ritmado,(1)palpitar,(1)vibrar,(1)bater,(1)ter pulsações
jumping	pulso,(3)pulso,(3)pulsação,(3)pulsar,(1)batimento,(1)cadência,(1)palpitação,(1)vida,(1)emoção,(1)movimento ritmado,(1)palpitar,(1)vibrar,(1)bater,(1)ter pulsações
jokes	piadas
frame	quadro, Armação,(3)quadro,(3)moldura,(3)enquadrar,(2)estrutura,(2)armação,(2)caixilho,(2)moldar,(1)chassi,(1)corpo,(1)carcaça,(1)esqueleto,(1)sistema,(1)plano,(1)humor,(1)ossatura,(1)conformação,(1)organização,(1)construir,(1)formar,(1)conceber,(1)apropriar,(1)fabricar,(1)edificar,(1)planejar,(1)colocar a armação em,(1)preparar,(1)destinar
boom	estrondo,(2)estrondo,(1)longarina,(1)barragem,(1)estampido,(1)aumento de negócios,(1)propaganda política,(1)ressoar,(1)lançar-se
vice	vício,(2)vício,(1)defeito,(1)imoralidade,(1)depravação,(1)libertinagem,(1)mau hábito,(1)deficiência,(1)manha,(1)em vez de,(1)em lugar de
performance	desempenho,(2)execução,(2)atuação,(2)realização,(2)cumprimento,(1)proeza,(1)representação teatral,(1)coisa realizada,(1)ação notável,(1)peça dramática
occasion	ocasião,(3)ocasião,(3)ocasionar,(2)oportunidade,(2)motivo,(1)ensejo,(1)ocorrência,(1)razão,(1)causa,(1)causar,(1)provocar,(1)originar,(1)motivar
silence	silêncio,(3)silêncio,(3)calar,(1)mutismo,(1)calma,(1)sossego
opera	ópera,(3)ópera
opal	opala,(3)opala
nonsense	Absurdo,(3)absurdo,(3)disparate,(2)tolice,(1)despropósito,(1)bagatelas,(1)burrice,(1)contra-senso
Julie	
frightened	assustado,(3)amedrontado,(3)assustado
downtown	centro da cidade,(3)centro da cidade,(1)centro comercial da cidade,(1)parte principal da cidade
Americans	
Joshua	
internet	Internet,(3)Internet,(1)Rede
Valerie	
slipped	escorregou,(3)escorregar,(3)deslizar,(1)enfiar,(1)meter,(1)cometer um lapso,(1)desatar,(1)abortar,(1)tirar em segredo,(1)soltar da trela,(1)saltar um ponto,(1)ter um descuido,(1)dar um passo em falso,(1)deixar de dar um ponto,(1)desequilibrar-se
Lucinda	
holly	azevinho,(3)azevinho
duck	pato,(3)pato,(1)lona,(1)querido,(1)lona para velas,(1)tela,(1)toldo,(1)enganar,(1)evitar o adversário,(1)fazer fita
dimera	pato,(3)pato,(1)lona,(1)querido,(1)lona para velas,(1)tela,(1)toldo,(1)enganar,(1)evitar o adversário,(1)fazer fita
blowing	sopro,(3)sopro,(1)assopro
world's	os mundos
session	sessão,(3)sessão,(2)reunião,(1)assembléia,(1)série de sessões,(1)período escolar,(1)duração de uma sessão
relationships	relacionamentos
kidnapping	sequestro,(3)rapto,(1)crime de rapto
England	
actual	real,(3)real,(3)atual,(2)verdadeiro,(2)efetivo,(1)vigente,(1)presente
spin	girar,(3)girar,(3)rotação,(3)giro,(2)fiar,(2)parafuso,(1)virar,(1)tecer,(1)torcer,(1)prolongar,(1)produzir,(1)seguir,(1)tornear,(1)correr com velocidade,(1)engendrar,(1)moldar ao torno,(1)sair em fio,(1)desfiar,(1)repuxar,(1)compor,(1)rodopio,(1)movimento giratório,(1)movimento rotativo
classic	clássico,(3)clássico,(1)simples,(1)perfeito,(1)ortodoxo,(1)excelente,(1)bem proporcionado,(1)obra clássica,(1)estilo classicista,(1)estudos clássicos,(1)escritor clássico,(1)humanista,(1)filosofia clássica,(1)humanidades
civil	Civil,(3)civil,(2)público,(1)social,(1)civilizado,(1)cortês,(1)administrativo,(1)delicado
tool	ferramenta,(3)ferramenta,(3)instrumento,(1)utensílio,(1)joguete,(1)trabalhar
Roxy	
packing	embalagem,(3)embalagem,(2)empacotamento,(2)empanque,(2)vedação,(1)arrumação,(1)enfardamento,(1)material de acondicionamento
education	Educação,(3)educação,(3)ensino,(2)instrução
blaming	culpar,(3)culpar,(1)acusar,(1)censurar
wrap	embrulho,(3)envolver,(2)enrolar,(2)cobrir,(1)agasalhar,(1)acondicionar,(1)colocar em volta,(1)enrolar-se,(1)agasalho,(1)xale,(1)cachecol,(1)cobertor,(1)manta de viagem
obsessed	embrulho,(3)obcecado
fruit	fruta,(3)fruta,(3)fruto,(1)resultado,(1)produto,(1)proveito,(1)conseqüência,(1)rendimento,(1)frutificar,(1)frutear
torture	tortura,(3)tortura,(3)torturar,(2)suplício,(1)tormento,(1)angústia,(1)aflição,(1)atormentar
personality	tortura,(3)tortura,(3)torturar,(2)suplício,(1)tormento,(1)angústia,(1)aflição,(1)atormentar
location	localização,(3)localização,(2)posição,(2)locação,(2)situação,(1)demarcação
loan	empréstimo,(3)empréstimo,(3)emprestar,(1)palavra,(1)conceder o empréstimo de
effort	esforço,(3)esforço,(2)empenho,(1)afã,(1)aplicação
daddy's	papai
commander	papai
trees	arvores
there'll	lá vai
rocks	pedras
owner	proprietário,(3)proprietário,(3)dono,(1)possuidor
fairy	fada,(1)mágico,(1)encantador,(1)arrebatador,(1)produzido por magia,(1)pederasta,(1)homossexual,(1)fictício
banks	bancos
network	bancos
per	por,(3)por,(1)através de,(1)por meio de,(1)durante,(1)pelo meio de,(1)devido a ação de,(1)de um extremo a outro
other's	outros
necessarily	necessariamente,(3)necessariamente,(1)inevitavelmente,(1)fatalmente,(1)formosamente
Louis	
county	município,(3)condado,(3)município,(2)comarca,(2)distrito,(2)região
contest	concurso,(3)contestar,(3)disputar,(3)competição,(2)disputa,(2)luta,(2)torneio,(1)lutar,(1)contender,(1)debater,(1)debate,(1)controvérsia
chuck	mandril,(3)mandril,(1)pá,(1)termo carinhoso,(1)cacarejo,(1)demissão,(1)cacarejar,(1)mandrilar,(1)estalar com a língua,(1)segurar no mandril
seventy	setenta,(3)setenta
print	impressão,(3)imprimir,(3)impressão,(2)impresso,(2)gravura,(2)estampa,(1)publicar,(1)marcar,(1)mandar imprimir,(1)gravar,(1)imagem,(1)desenho,(1)tipografia,(1)coisa impressa
motel	motel,(3)motel
fallen	caído,(3)caído
directly	diretamente,(3)diretamente,(2)imediatamente,(1)precisamente,(1)completamente
underwear	roupas íntimas,(3)roupa interior,(2)roupa íntima
grams	gramas
exhausted	exausto,(3)esgotado,(3)exausto,(1)gasto
believing	crente,(2)crente,(1)religioso,(1)consciencioso,(1)piedoso,(1)temente a deus,(1)escrupuloso
Thorne	
particularly	particularmente,(3)particularmente,(3)especialmente,(3)em particular,(1)pormenorizadamente
freaking	assustador
carefully	cuidadosamente,(3)cuidadosamente
trace	vestígio,(3)traço,(3)traçar,(2)vestígio,(2)rastro,(2)sinal,(2)pista,(2)marca,(2)indício,(1)pegada,(1)quantidade mínima,(1)marcar,(1)delinear,(1)registrar,(1)planejar
touching	tocante,(3)tocante,(3)comovente,(2)comovedor,(1)patético
messing	bagunçando
Hughes	
committee	comitê,(3)comissão,(3)comitê,(1)junta,(1)grupo,(1)delegação,(1)curador,(1)tutor
smooth	suave,(3)suave,(3)liso,(3)suavizar,(3)alisar,(2)macio,(2)regular,(2)fácil,(2)facilitar,(1)tranquilo,(1)calmo,(1)plano,(1)polido,(1)sereno,(1)lustroso,(1)brando,(1)isento de dificuldades,(1)lisonjeiro,(1)bajulador,(1)sem pêlos,(1)amaciar,(1)acalmar,(1)aplanar,(1)polir,(1)aperfeiçoar,(1)plainar
recovery	recuperação,(3)recuperação,(1)restabelecimento,(1)cura,(1)reparação,(1)convalescença,(1)reaquecimento,(1)indenização,(1)alce,(1)requisição
intention	intenção,(3)intenção,(2)intuito,(2)propósito,(2)objetivo,(1)desígnio,(1)idéia,(1)concepção,(1)fim a atingir
enter	entrar,(3)entrar
consequences	consequências
belt	cinto,(3)cinto,(3)correia,(3)cinturão,(2)faixa,(2)cintura,(1)cingir,(1)circundar,(1)apertar,(1)cintar,(1)bater com um cinto em
standard	padrão,(3)padrão,(3)norma,(2)nível,(2)qualidade,(1)critério,(1)medida,(1)estalão,(1)classe,(1)protótipo,(1)craveira,(1)modelo a seguir,(1)grau de conhecimentos,(1)calibre padrão
sacrifice	sacrifício,(3)sacrifício,(3)sacrificar,(1)holocausto,(1)oblação,(1)imolação,(1)oferecer sacrifícios,(1)imolar,(1)fazer o sacrifício de,(1)vender com prejuízo
marina	marina,(3)marina
courage	coragem,(3)coragem,(1)bravura,(1)alento,(1)intrepidez,(1)animosidade
butter	manteiga,(3)manteiga,(1)lisonja,(1)passar manteiga,(1)lisonjear,(1)adular
officers	oficiais
enjoyed	gostou
ad	de Anúncios,(3)anúncio
lack	falta,(3)falta,(2)carência,(2)faltar,(1)necessidade,(1)não ter,(1)não possuir,(1)necessitar,(1)carecer de
buck	bode,(2)macho,(2)pinote,(1)pulo,(1)resistir,(1)copular,(1)pular,(1)apressar-se,(1)enfeitar-se
attracted	atraído
appears	parece
Spencer	
bay	baía,(3)baía,(3)louro,(2)compartimento,(2)enseada,(1)vão,(1)cavalo baio,(1)abertura,(1)latido,(1)baio,(1)ladrar,(1)uivar,(1)acuar,(1)perseguir latindo
yard	Jardim,(3)jarda,(3)quintal,(3)jardim,(3)pátio,(2)terreiro,(2)área,(1)viveiro,(1)pênis,(1)encurralar
returned	devolvido
remove	retirar,(3)remover,(2)retirar,(2)tirar,(1)afastar,(1)exonerar,(1)demitir,(1)mover,(1)deslocar,(1)despir,(1)despedir,(1)tirar do seu lugar,(1)retirada,(1)afastamento,(1)distância,(1)grau de parentesco,(1)mudança de residência,(1)passagem de classe
nut	noz,(2)noz,(2)castanha,(1)amêndoa,(1)avelã,(1)cachola,(1)cabeça,(1)porca de parafuso,(1)pinha,(1)apanhar nozes,(1)procurar nozes
carried	carregado,(2)transportado
today's	hoje,(1)o dia de hoje
testimony	testemunho,(3)testemunho,(3)depoimento,(2)prova,(1)confirmação
intense	intenso,(3)intenso,(2)forte,(1)ardente,(1)vivo,(1)extremo,(1)enérgico
granted	concedido,(1)reconhecido,(1)permitido,(1)admitido,(1)adjudicado
Alice	
violence	violência,(3)violência,(1)força,(1)abuso,(1)fúria,(1)coação,(1)injúria,(1)ultraje
Peggy	
heal	curar,(3)curar,(2)cicatrizar,(2)sarar,(1)melhorar
defending	defendendo
attempt	tentativo,(3)tentativa,(3)tentar,(2)esforço,(1)ataque,(1)balbucio,(1)atentar,(1)experimentar,(1)aventurar-se
unfair	injusto,(3)injusto,(3)desleal,(1)não razoável,(1)desonesto,(1)parcial,(1)falso
relieved	aliviado,(3)aliviado
political	político,(3)político
loyal	político,(3)político
approach	aproximação,(3)aproximar,(3)abordar,(3)aproximação,(1)acercar,(1)conduzir a,(1)beirar,(1)fazer propostas a,(1)acercar-se de,(1)achegar-se,(1)aproximar-se,(1)acesso,(1)introdução,(1)confronto,(1)marcha de aproximação
slowly	lentamente,(3)lentamente
plays	tocam
normally	normalmente,(3)normalmente
buzz	zumbido,(3)zumbido,(3)zumbir,(2)murmúrio,(2)rumor,(1)sussurro,(1)isca artificial,(1)zunir,(1)sussurrar,(1)pairar,(1)espalhar,(1)acabar,(1)esvaziar
alcohol	álcool,(3)álcool
actor	ator,(3)ator,(2)protagonista,(1)autor,(1)figurante,(1)instituidor
surprises	surpresas
psychiatrist	psiquiatra,(3)psiquiatra
pre	pré,(3)pré-
plain	avião,(3)simples,(3)liso,(3)planície,(2)claro,(2)plano,(2)evidente,(2)campina,(2)claramente,(1)óbvio,(1)natural,(1)manifesto,(1)singelo,(1)franco,(1)raso,(1)sincero,(1)modesto,(1)honesto,(1)recatado,(1)unicolor,(1)francamente,(1)lamentar,(1)carpir-se,(1)lamentar-se,(1)prantear-se
attic	sótão,(3)sótão
who'd	quem iria
uniform	uniforme,(3)uniforme,(3)uniforme,(2)homogéneo,(2)constante,(2)farda,(1)regular,(1)igual,(1)fardamento,(1)beca
terrified	apavorado,(3)aterrorizar,(2)amedrontar,(2)apavorar,(2)aterrar,(1)encher de medo
sons	filhos
pet	animal,(3)animal de estimação,(2)acariciar,(1)predileto,(1)favorito,(1)querido,(1)criança mimada,(1)despeito,(1)enfado,(1)afagar,(1)mimar,(1)acarinhar,(1)favorito,(1)querido,(1)doméstico,(1)inofensivo,(1)manso,(1)domesticado,(1)sem interesse
Kristen	
cleaned	limpo
Zach	
threaten	ameaçar,(3)ameaçar,(1)pôr em perigo,(1)prenunciar,(1)estar iminente,(1)proferir ameaças,(1)pressagiar,(1)avisar
teaching	ensino,(3)ensino,(1)instrução,(1)ato de ensinar,(1)função de professor
mum	mãe,(3)mãe,(1)mãezinha,(1)minha senhora,(1)pouco claro,(1)inarticulado,(1)indistinto,(1)mal pronunciado,(1)arremedar,(1)fazer imitações
motion	movimento,(3)movimento,(2)proposta,(2)moção,(1)gesto,(1)requerimento,(1)deslocação,(1)impulso,(1)mecanismo,(1)inclinação,(1)maneira de andar,(1)gesticular,(1)acenar
fella	cara
enemies	inimigos
desert	deserto,(3)deserto,(3)deserto,(3)desertar,(1)ermo,(1)árido,(1)desabitado,(1)solidão,(1)merecimento,(1)mérito,(1)região árida,(1)desistir de,(1)desamparar
collection	coleção,(3)coleção,(3)coleta,(2)cobrança,(2)acervo,(2)arrecadação,(1)compilação,(1)porção
Roxanne	
incident	incidente,(3)incidente,(3)incidente,(2)acidente,(2)episódio,(2)ocorrência,(2)caso,(1)ligado,(1)provável,(1)pertencente,(1)próprio,(1)circunstância
failure	fracasso,(3)falha,(3)fracasso,(3)insuficiência,(2)insucesso,(2)incapacidade,(1)carência,(1)esquecimento,(1)distração,(1)baldão
satisfied	satisfeito
imagination	imaginação,(3)imaginação,(2)fantasia,(1)criatividade,(1)idéia,(1)conceito,(1)imagem mental
hooked	fisgado,(2)em forma de gancho,(2)adunco,(2)curvo
headache	dor de cabeça,(3)dor de cabeça,(2)enxaqueca,(1)amolação
forgetting	esquecendo
counselor	conselheiro,(3)conselheiro,(2)advogado
Andie	
acted	agiu
opposite	oposto,(3)oposto,(3)em frente,(3)contrário,(3)oposto,(3)em frente,(2)defronte,(1)fronteiro,(1)antagônico,(1)completamente diferente,(1)antagonista,(1)do outro lado,(1)contra,(1)em frente de,(1)diante de,(1)em face de
highest	Altíssima
gross	bruto,(3)bruto,(2)total,(2)grosseiro,(2)total,(1)grosso,(1)flagrante,(1)em bruto,(1)vulgar,(1)enorme,(1)pesado,(1)ordinário,(1)tosco,(1)gordo,(1)indelicado,(1)inteiro,(1)embotado,(1)tudo,(1)grosso,(1)grosa,(1)massa,(1)doze dúzias
golden	dourado,(3)dourado,(1)áureo,(1)precioso,(1)excelente,(1)próspero,(1)importante
equipment	equipamento,(3)equipamento,(2)aparelho,(1)aparelhagem,(1)instalação,(1)armamento
badge	distintivo,(3)distintivo,(3)crachá,(1)divisa
tennis	tênis,(3)tênis
Italian	
visiting	visitando,(3)de visita,(2)visitante
Tricia	
studio	estúdio,(3)estúdio,(2)ateliê
naturally	naturalmente,(3)naturalmente,(1)certamente,(1)sem dúvida,(1)verdadeiramente,(1)com toda a certeza,(1)de fato,(1)seguramente
frozen	congelados,(3)congelado,(2)gelado,(1)gélido,(1)insensível
commissioner	comissário,(3)comissário,(2)delegado,(2)comissionado,(2)encarregado
sakes	sakes,(3)causa,(3)saquê,(2)fim,(2)objetivo,(2)motivo,(1)intento
Lorelei	
labor	trabalho,(3)trabalho,(2)labor,(2)trabalhar,(1)tarefa,(1)ocupação,(1)dores de parto,(1)dores do parto,(1)obrigação,(1)mão-de-obra,(1)labutar,(1)lidar,(1)elaborar,(1)sentir dores do parto,(1)fabricar
glory	glória,(3)glória,(2)honra,(2)gloriar,(1)fama,(1)majestade,(1)magnificência,(1)renome,(1)hino laudatório a deus,(1)resplendor celeste,(1)vida celestial,(1)exultar,(1)regozijar-se com
appropriate	apropriado,(3)apropriado,(3)adequado,(2)conveniente,(2)destinar,(1)açambarcar,(1)aproveitar,(1)apropriar-se de,(1)apropriar-se,(1)apossar-se
Africa	
trunk	tronco,(3)tronco,(2)baú,(2)mala,(1)arca,(1)mala grande,(1)reboque,(1)tromba de elefante
armed	armado,(3)armado,(1)munido de armas, garras ou espinhos
twisted	torcido,(2)retorcido
thousands	milhares
received	recebido,(3)recebido
dunno	Não sei
costume	traje,(3)traje,(3)costume,(1)vestuário,(1)vestir,(1)mascarar
temporary	temporário,(3)temporário,(2)provisório,(2)transitório,(1)passageiro
sixteen	dezesseis,(3)dezesseis,(3)dezesseis
impressive	impressionante,(3)impressionante,(1)impressivo
zone	zona,(3)zona,(2)área,(2)região,(1)faixa,(1)círculo,(1)cinta
kitty	gatinha,(3)gatinho
kicking	chutando
junk	lixo,(2)junco,(1)coisas velhas,(1)barco oriental,(1)carne salgada,(1)velharias sem valor
hon	querida
grabbed	agarrou
France	
unlike	ao contrário,(3)ao contrário,(3)ao contrário de,(3)contrário,(3)diferente,(2)distinto,(1)não como,(1)de modo diferente,(1)diverso,(1)dissemelhante,(1)não parecido
understands	entende
mercy	misericórdia,(3)misericórdia,(2)piedade,(2)clemência,(2)compaixão,(1)pena
describe	descrever,(3)descrever,(1)relatar,(1)narrar,(1)traçar,(1)desenhar
Wayne	
priest	sacerdote,(3)sacerdote,(3)padre,(2)cura,(1)clérigo,(1)eclesiástico,(1)prior
