virus	vírus, vírus, viroses, verificador de vírus, verificador de vírus
shrink	encolher, diminuir, psiquiatra, encolhimento, redução, contração, retração, encolhimento, contração, reduzido, decrescente
influence	influência, poder, peso, afetar, persuadir, influenciado, influenciadas, marcada, abrangidos, influências, influência indevida, abuso de influência
freezing	congelamento, congelação, refrigeração, de congelação, congelantes, geladas, congelação rápida, ponto de congelação, ponto de congelamento, frio congelante, frio terrível, frio intenso, frio de gelar
concert	concerto, espetáculo, recital, concertada, conjunto, combinado, articulado, concerto
wreck	naufrágio, destroços, caco, destruir, arruinar, naufragar, aniquilar, destruído, naufragado, desbaratado, aniquilado, destroços, escombros, naufrágio, bola de demolição


chain	cadeia, rede, corrente, elo, encadear, cadeia de fornecimento, cadeia de suprimento, cadeia de suprimentos, cadeia de fornecedores, cadeia de valor, cadeia de oferta, gestão da cadeia de fornecimento, gerenciamento da cadeia de fornecimento

walker	caminhante, andarilho, pedestre, andadores, andarilhos, peões, passeador de cães, andador, carrinho-andador

wire	fio, arame, cabo, escuta, ligar algo/alguém, telegrafar, cercar, bancárias, com fio, conectados, transferido, por cabo, transferência bancária, transferência eletrônica, transferência electrónica

presence	presença, existência, na presença de, presença de espírito, presença de mente, presença no mercado, presença de mercado
blown	soprado, levadas, insuflado, soprados, detonado, fusível queimado, vidro soprado
anxious	ansioso, preocupado, inquieto, desejosos
cave	gruta, cavidade, toca, advertência, aviso, ressalva
version	versão, modelo, variante, versão preliminar, versão provisória, versão de teste, versão de avaliação, versão experimental, versão de demonstração, última versão, versão mais recente, versão mais atual, versão mais atualizada

holidays	férias, feriados, festas, feriados, feriados públicos, feriados oficiais, férias do Natal, feriados legais
cleared	desembaraçada, compensado, autorizado, desmatadas, fundos disponíveis, área desmatada, ser esclarecido, ser clarificado

survived	sobrevivido
caring	atencioso, cuidadoso, preocupados, atento, responsabilidades de cuidados
candles	velas, castiçal, candeia, candelabro, candeeiro, velas acesas
bound	obrigado, vinculado, vinculados, ligado, limite, salto, obrigar, limitar, atar, pular, limite, fronteira, delimitação, contorno, limitado, demarcada, delimitado, vinculada
related	relacionado, relativos, relativa, ligados, intimamente ligado, estreitamente ligado, partes relacionadas, partidos relacionados, partes conexas, parte relacionada, parte ligada, parte coligada

charm	charme, encanto, simpatia, berloque, encantar, charmoso, encantador, fascinante, agradável
apple	maçã, macieira, tarte de maçã, torta de maçã, maçãs, crocante de maçã


pulse	pulso, impulso, ritmo, pulsação, pulsar, frequência de pulso, ritmo dos impulsos, frequência cardíaca


frame	quadro, estrutura, armação, emoldurar, moldar, idear, quadro, enquadramento, estrutura, âmbito, emoldurado, enquadrado, concebido, cercada, quadro jurídico, quadro legal, enquadramento legal, estrutura legal
boom	explosão, lança, auge, estrondo, expandir-se, florescente, crescente, pujante, baby-boom, baby boom
vice	vice, vício, torninho, prensa, vice-versa, vice-presidente
performance	desempenho, performance, rendimento, atuação, garantia de execução, garantia de performance, indicadores-chave de desempenho, indicadores-chave do desempenho
occasion	ocasião, festa, evento, ocasionar, causar, ocasional, ocasionais, pontuais, pontual, ocasiões, momentos, oportunidades, por ocasião de
silence	silêncio, silenciar, calar algo/alguém, silenciador, silenciado, em silêncio
opera	ópera, operar, funcionar, agir, comandar, operação, funcionamento, utilização, gestão
opal	opala, opalino, opalescente, opalescência
nonsense	absurdo, disparates, disparate, besteira, perfeito disparate, falar bobagens, dizer disparates, total absurdo, completo absurdo

frightened	assustado, amedrontado, atemorizado, temeroso, ter medo, ficar assustado
downtown	centro, centro da cidade, baixa da cidade, centro da cidade, área central, baixa da cidade, centro urbano, centro histórico, grandes centros urbanos


internet	internet, provedor de internet



holly	azevinho, astro de Hollywood
duck	pato, mergulhar, mergulho, patos, pato coxo, pessoa ou coisa fracassada

blowing	soprado, agente de expansão, sopro de ar, sopro de vidro

session	sessão, reunião, seção, aula, sessão de improvisação, sessão de treinamento, sessão de formação, sessão de treino, sessão de treinos, sessão plenária, reunião plenária, assembleia plenária

kidnapping	seqüestro, sequestro, rapto, sequestros

actual	real, reais, atual, atuais
spin	girar, fiar, centrifugar, torcer, rodada, giro, centrifugação, rotação, eixo, fuso, ferramenta, mandril, fiação, tecelagem, giratório
classic	clássico, tradicional, típico, habituais, clássico, erudita, música clássica, música erudita, clássicos
civil	civil, civis, públicos, cível
tool	ferramenta, instrumento, trabalhar, usinagem, kit de ferramentas, conjunto de ferramentas, caixa de ferramentas, caixa de ferramentas, conjunto de ferramentas, panóplia, arsenal

packing	embalagem, empacotamento, lista de embalagem, lista de embalagens, lista de empacotamento, nota de embalagem, recibo de entrega, grupo de embalagem
education	educação, formação, ensino, escolaridade, ensino superior, nível superior, formação superior, curso superior, educacional, educativo, educacionais, escolar, formação, formação acadêmica, formação educacional, antecedentes educacionais
blaming	
wrap	embrulhar, envolver, enrolar, empacotar, envoltório, invólucro, cobertor, abrigo, embrulhar, envolvido, embrulhado, embalado, envoltos, embalagem, embrulho, invólucro, acondicionamento
obsessed	obcecado
fruit	fruta, fruto, frutas, frutuoso, frutífero, frutuosa, profícuo, maracujá, fruição, viabilização
torture	tortura, suplício, torturar, torturado, atormentado, violadas, torturador, liberdade da tortura
personality	personalidade, caráter, carácter, personalidade jurídica, personalidade legal, identidade jurídica, traços de personalidade, características de personalidade, direitos de personalidade
location	local, localização, posição, lugar, local de armazenamento, local de armazenagem, posição de armazenamento, local de depósito, localização privilegiada, privilegiada localização, local privilegiado, excelente localização, localização atual, posição atual, local atual
loan	empréstimo, crédito, financiamento, emprestar, empréstimos, créditos, acordo de empréstimo, contrato de empréstimo, contrato de crédito, convenção de empréstimo, emprestado, cedidos, emprestadas, alugada
effort	esforço, empenho, aposta, tentativa, fácil, sem esforço, simples, melhores esforços, máximos esforços, fazer um esforço, esforçar-se

commander	comandante, chefe, capitão-tenente, comandante supremo, comandante de companhia



owner	proprietário, dono, titular, proprietária, propriedade, posse, beneficiário efectivo, proprietário beneficiário, proprietário usufrutuário, interesse de propriedade, interesse de posse
fairy	fada, reino das fadas, fada dos dentes, fada-madrinha

network	rede, interligar, reticular, redes, em rede, ligado em rede, interligados, conectadas
per	por, desempenho, performance, rendimento, atuação



county	condado, município, comarca, concelho, tribunal distrital, tribunal da comarca, tribunal de condado, tribunal do condado, cadeia do condado, cadeia municipal, sede de concelho, sede do concelho
contest	concurso, competição, disputa, passatempo, contestar, disputar, competir, arguir, concorrente, participante, competidor
chuck	mandril, bucha, arremesso, carícia, cacarejar, rir, risinho, risadinha, placa de fixação

print	impressão, cópia, gravura, reprodução, imprimir, imprimir algo, impresso, impressor, impressora, gráfica, impresso, impressas, imprimido, estampada
motel	motel, motéis
fallen	caído, diminuído, decaído, anjo caído, árvore caída, árvore tombada, frutos caídos

underwear	roupa interior, roupa íntima, roupa de baixo
grams	
exhausted	esgotado, exausto, exauridos, baterias gastas, ser esgotado, estar esgotado
believing	fiéis




trace	traçar, rastrear, encontrar algo/alguém, seguir, traço, vestígio, rastro, sinal, rastreabilidade, identificação, rastreamento, rastreados, traçado, traçados, marcado, rastreáveis, rastreável, identificáveis, seguidos
touching	tocante, emocionante, comovente, comovedor


committee	comissão, comité, comitê, conselho, comité de direcção, comitê de direção, comitê diretor, comitê de orientação, comité consultivo, comissão consultiva, comitê consultivo, conselho consultivo, Comissão Executiva, Conselho de Administração, Comité Director
smooth	bom, macio, tranquilo, fácil, alisar, nivelar, alisamento, suavização, nivelamento, regularização, regularizador, mais suave, mais harmonioso, mais liso, mais macio
recovery	recuperação, restabelecimento, retomada, recuperação de desastres, recuperação após desastres, recuperação de falhas, recuperação de custos, amortização dos custos, recuperação de energia, valorização energética, recuperação energética, aproveitamento da energia
intention	intenção, objetivo, intuito, intencional, intencionais, deliberado, voluntária, carta de intenção, intencionalidade
enter	entrar, introduzir, inserir, enviar, empresa, empreendimento, companhia, iniciativa, introduzido, inserido, inseridos, entrado, entretenimento, lazer, animação, divertimento
consequences	consequências, conseqüências, efeitos, repercussões, consequências indesejadas, consequências não intencionais, consequências involuntárias, consequências imprevistas, consequências desastrosas, terríveis consequências, consequências terríveis, consequências fiscais
belt	cinto, correia, esteira, correia transportadora, esteira transportadora, tapete rolante, esteira rolante, cinto de segurança, correia dentada
standard	padrão, nível, norma, referência, normalizado, standard, comum, normal, padronizado, standard, uniformizados, normatizado, padronizada, normalizado, estandardizado, harmonizado, padronização
sacrifice	sacrifício, sacrificar algo/alguém, sacrifícios, sacrificado, imolados, crucificado, sacrifício de sangue
marina	porto, marina, marinar
courage	coragem, valentia, arrojo, ousadia, corajoso, valente, audazes, audaz, coragem moral, ganhar coragem, arranjar coragem
butter	manteiga, leitelho, soro, borboleta, mariposa, abóbora-menina

enjoyed	desfrutado, desfrutadas, usufruídos, aproveitado
ad	anúncio, propaganda, comercial, anúncio publicitário, endereço, discurso, endereço postal, logradouro, endereçar, além disso, conselho, aconselhamento, conselhos, informação
lack	falta, ausência, carência, escassez, faltar, carecer de algo, não dispor de algo, desprovido, ausente, escassos, insuficientes, inexistência de, apagado, enfadonho
buck	dólar, corço, cervo, sacudir, balde, afivelar, trigo sarraceno
attracted	atraído, seduzidos, chamado, conquistado


bay	baía, louro, enseada, ladrar, folha de louro, folhas de louro, baías, compartimentos, enseadas
yard	estaleiro, quintal, pátio, jardim, critério, parâmetro, padrão, referencial, estaleiros, pátios, jardas, venda de garagem
returned	devolvido, enviados, enviada, reenviadas, mercadorias devolvidas, bens devolvidos, mercadorias de retorno, produtos devolvidos, cheque devolvido
remove	remover, retirar, eliminar, tirar, removido, retirado, retirados, eliminado, removedor
nut	porca, noz, rosca, casca de noz, noz-moscada
carried	realizado, levado, feito, levadas, saldo transportado, trabalho que desenvolveram, montante transitado

testimony	testemunho, depoimento, testemunho de especialistas, depoimento oral, falso testemunho
intense	intenso, forte, profundo, intensivo, concorrência intensa, intensa concorrência, forte concorrência, calor intenso, intenso calor, forte calor, calor tórrido, enfoque intenso
granted	outorgadas, garantido, direitos conferidos, empréstimo concedido, crédito concedido, patente concedida

violence	violência, força, violência doméstica, violência de género, violência de gênero, violência sexual, violência de gênero, violência de género

heal	curar, cicatrizar, sarar, saúde, cuidados de saúde, saudável, saudáveis, são, sadio
defending	acusada, atual campeão, campeão em título, detentor do título, advogado de defesa
attempt	tentativa, esforço, intento, tentar, provar, tentado, tentadas, empreendida, experimentada, tentativa de homicídio, tentativa de assassinato, tentativa de assassínio, tentativa falhada, tentativa frustrada, tentativa fracassada
unfair	desleal, injusto, desleais, injustificável, concorrência desleal, concorrência injusta, competição desleal, concorrência desigual, injustiça, carácter abusivo, deslealdade, iniquidade, despedimento sem justa causa, despedimento ilícito, despedimento abusivo, demissão ilícita
relieved	aliviado, dispensado, isento, dispensados
political	político, partido político, grupo político, instabilidade política, agitação política, convulsões políticas, vontade política
loyal	leal, fiel, leais, fiéis, lealdade, fidelidade, dedicação, fidelidade do cliente, fidelidade dos clientes, fidelização do cliente, fidelidade de clientes, legalista
approach	abordagem, método, aproximação, enfoque, abordar, abordagens, enfoques, aproximações, metodologias, próximo, abordado, abordada, aproximado, abordadas
slowly	
plays	peças, peças de teatro

buzz	zumbido, excitação, burburinho, zumbir, zunir, alarme, sinal sonoro, campainha, cigarra, movimentado, chavão, palavra da moda, termo em voga
alcohol	álcool, álcool isopropílico, alcoólico, alcoólatra, alcoolizado, abuso de álcool, consumo abusivo de álcool
actor	ator, actor, atriz, interveniente, agentes não estatais, intervenientes não governamentais, entidades não governamentais, atores-chave, principais agentes, atores fundamentais, intervenientes fundamentais

psychiatrist	

plain	simples, claro, liso, natural, claramente, totalmente, raso, absolutamente, planície, queixoso, requerente, autora, demandante, planícies, planície, texto simples, simples texto


uniform	uniforme, farda, homogêneo, comum, unificado, uniformizados, uniformizar
terrified	aterrorizado, apavorado, assustados

pet	animal de estimação, mascote, bichinho, bicho, acariciar algo/alguém, pequenos, mesquinho, fúteis, insignificantes

cleaned	limpo, higienizados, lavadas, limpo

threaten	ameaçar, intimidar, ameaçado, comprometido, ameaçador, perigosos, ameaçante, espécies ameaçadas de extinção
teaching	ensino, educação, docência, ensinamentos, docente, de formação, pedagógico, educacional, professor assistente, hospital universitário, hospital de ensino, hospital escolar, hospital-escola, ensinamentos, doutrina, ensinos, lições
mum	mamã, mamãe, caxumba, murmurar, murmurar algo, resmungar, múmia, mamãe, mamã
motion	movimento, moção, resolução, proposta, filme cinematográfico, movimentos, propostas, resoluções, amplitude de movimento, variedade de movimentos, arco de movimento, alcance de movimento


desert	deserto, desertar, abandonar, desértico, deserto, desertificada, vazia
collection	recolha, coleção, coleta, cobrança, recolha de dados, coleta de dados, levantamento de dados, colheita de dados, coleções, cobranças, acervos, recolhas, cobrança de impostos, arrecadação de impostos, recolhimento de tributos, cobrança fiscal

incident	incidente, acidente, acontecimento, fato, incidental, incidentais, adicionais, incidente
failure	falha, falhas, fracasso, insuficiência cardíaca, falência cardíaca, paragem cardíaca, falha cardíaca, falhas, fracassos, erros, insuficiência cardíaca congestiva, falência cardíaca congestiva
satisfied	satisfeito, contente, confiante, preenchido, clientes satisfeitos, consumidores satisfeitos, cliente satisfeito, consumidor satisfeito, clientes satisfeitos
imagination	imaginação, imaginário, fantasia, criatividade, imaginações, imaginação brilhante, imaginação fértil
hooked	viciado, engatados, enganchado, ligado, conectados
headache	dor de cabeça, cefaléia, cefaleia, dor de cabeça forte
forgetting	
counselor	conselheiro, conselheira, consultor, orientador, orientador escolar, orientador educacional, orientador escolar, orientador da escola, consultor de crédito

acted	atuado, agido, actuado, representada
opposite	oposto, contrário, inverso, oposto, contrário, opostas, diferente, lado oposto, extremo oposto, lado contrário, face oposta, sentido contrário, direção oposta, sentido oposto, sentido inverso, extremo oposto
highest	mais alto, máximo, mais elevadas, alta qualidade, mais alta qualidade, máxima qualidade, elevada qualidade, oferta mais elevada, proposta mais elevada, melhor oferta, maior lance, maior prioridade, máxima prioridade, mais alta prioridade, principal prioridade
gross	bruto, grave, grosso, grosseiro, nojento, negligência grave, negligência grosseira, grave negligência, culpa grave, lucro bruto, receita bruta
golden	de ouro, dourado, áureo, precioso, idade de ouro, era dourada, época de ouro, idade dourada, regra de ouro, regra áurea, regra básica, regra dourada, pára-quedas dourado
equipment	equipamento, material, instalações, aparelho, bens de equipamento, equipamentos essenciais, fabricante de equipamento de origem, equipamento auxiliar
badge	crachá, emblema, distintivo, insígnia, texugo, importunar, crachá, texugos
tennis	tênis, ténis, campo de ténis, quadra de tênis, tênis de mesa, ténis de mesa, cotovelo de tenista

visiting	visitante, professora convidada, professor visitante, endereço para visitantes

studio	estúdio, atelier, ateliê, estudioso, apartamento studio, estúdio de design, centro de desenho

frozen	congelado, bloqueada, ultracongelado, alimentos congelados, comida congelada, produtos congelados, solo congelado, piso congelado, chão congelado, activos congelados, bens congelados, ativos congelados
commissioner	comissário, comissário adjunto, alto comissariado, alta-comissária, comissário de polícia
sakes	

labor	
glory	glória, esplendor, ipoméia, ipomeia, coroa de glória, coroa gloriosa, glória de Deus
appropriate	apropriado, adequado, próprio, indicado, adequação, oportunidade, conveniência, pertinência, conforme apropriado, conforme o caso, como adequado, caso aplicável

trunk	tronco, artéria, caule, baú, troncos, baús, fato de banho, linha tronco
armed	armado, militares, militar, equipados, assalto à mão armada, roubo armado, forças armadas, conflitos bélicos
twisted	torcido, trançado, entrançado, entrelaçados, par trançado, par entrançado, par torcido, mente perversa, cabo torcido

received	recebido, obtido, acolhido, recepcionados, ordem recebida, encomenda recebida, juro recebido, juros obtidos, chamadas recebidas, ligações entrantes

costume	traje, fantasia, roupa, costureiro de fantasias
temporary	temporário, provisório, temporais, temporal, atribuição temporária, missão temporária, destacamento temporário, cargo temporário, trabalhador temporário, trabalhador avulso, pessoal temporário, empregados temporários
sixteen	dezesseis, ·dezasseis, décimo sexto
impressive	impressionante, impressionantes, imponente, imponentes, imponência, resultados impressionantes, resultados notáveis, desempenho impressionante
zone	zona, área, divisão, fuso horário, zona-tampão, zona de segurança, zona de proteção, zona neutra
kitty	gatinha, gatinho, fundo comum, bolo

junk	lixo, porcaria, tralha, junk food, comida de plástico, comida sem qualidade, lixo eletrônico, lixo postal, correio não solicitado, correio não desejado

grabbed	agarrado

unlike	diferente, distinto, caso improvável, improvável evento, evento improvável, improvável eventualidade, improbabilidade, inverossimilhança

mercy	misericórdia, mercê, piedade, compaixão, eutanásia, casa da misericórdia, ato de misericórdia
describe	descrever, relatar, caracterizar algo/alguém, retratar algo/alguém, descritos, apresentadas, exposto

priest	sacerdote, padre, sacerdócio, presbiterado, sacerdotal, sacerdotisa


cable	cabo, fio, telegrama, condutor, empanque do cabo, suporte para cabos, cabo de alimentação, cabo de energia, cabo eléctrico, cabo de ligação
owns	
affect	afetar, influenciar, prejudicar algo/alguém, determinar, afetado, influenciado, condicionado, atingidos, afeto, afeição, ternura, afetuoso, carinhoso, afetivos, afetiva

starving	faminto, esfomeado


happily	

deserved	merecido, condigna, justo, devida

leading	líder, principal, de liderança, primeiro, vanguarda, tecnologia de ponta, linha da frente, papel de liderança, papel importante, papel proeminente, papel de relevo, questões importantes, questões mais relevantes, principais perguntas
intelligence	inteligência, inteligência empresarial, inteligência de mercado, conhecimento do mercado, dados de mercado, inteligência do mercado, recolha de informações, coleta de informações
host	anfitrião, acolhimento, hospedeiro, apresentador, receber, sediar, acolher, hospedar, hospedados, hospedado, alojado, realizado, hospedagem, apresentadora
authority	autoridade, entidade, poder, autoridade reguladora, entidade reguladora, autoridade regulatória, autoridade de regulamentação, autoridade fiscal, autoridade tributária, entidade fiscal, autoridade emissora, autoridade de emissão, autoridade emitente, organismo emissor
surveillance	vigilância, vigilância por vídeo, sistema de vídeo-vigilância, sistema de vigilância por vídeo, vigilância da saúde, vigilância médica, controlo da saúde
cow	vaca, intimidar, vaqueira, carenagem, capuz, cobarde, covarde
commercial	comercial, comerciais, mercantil, económico, comercial, anúncio, propaganda, fatura comercial, factura comercial, papel comercial, título comercial, papéis comerciais, gerente comercial, representante comercial, gestor comercial



shadow	sombra, vulto, fantasma, observação, sombrio, obscura, sombreado, escuro, bastidores
questioning	questionamento, interrogação, interrogatório, questionador, interrogativo, interessada, técnicas de interrogação, interrogatórios, questionamento crítico
fund	fundo, fonte, financiamento, recursos, financiamentos, apoio, financeira, financiadoras, financiadora, fundamental, fundamentais, essencial, principal
dragged	arrastado, levados
barn	celeiro, estábulo, galpão, curral, craca, cracas, galinheiro
object	objecto, objeto, elemento, peça, objetar, contestar, desaprovar, objetivo, finalidade, meta, fim, objetivo, imparcial, concreta


amp	ampère
wrapped	envolvido, embrulhado, embalado, envoltos, embrulhado
wasted	desperdiçado, perdida, degradados, devastadas, tempo perdido, perda de tempo, tempo desperdiçado, energia desperdiçada, desperdício de espaço

tense	tenso, estendido, tempo, retesar, passado, pretérito perfeito, passado verbal, tempo verbal no passado, presente, tempo presente, presente do indicativo
sport	esporte, desporto, desportivo, esportiva, esportistas, desportivo, esportivo, brincalhão, artigos de desporto, vestuário desportivo, vestuário de desporto, roupa esportiva
route	rota, percurso, caminho, eixo, dirigir, mandar, encaminhar algo/alguém, roteador, encaminhador, fresa, encaminhado, direcionados, roteados, conduzido


plastic	plástico, plásticos, estético, plastificante, filme plástico, película aderente, embalagem de plástico, invólucro de plástico
hoped	

election	eleição, nomeação, votação, eleições intermediárias, eleitoreiros, eleitorais, eleitoralista, eleição geral
roommate	companheiro de quarto, colega de quarto
pierce	furar, perfurar, trespassar, trespassado, atravessado, picado, perfurado
mortal	mortal, mortais, letal, fatal
fascinating	fascinante, rica, deslumbrante, impressionante, livro fascinante, pergunta fascinante, fascinante história, história fascinante, relato fascinante
chosen	escolhido, selecionado, pretendida, metodologia escolhida, produtos selecionados, tópicos escolhidos

shown	mostrado, demonstrado, exibido, data indicada, confiança depositada
arranged	organizado, marcado, disposta, dispostos, casamento arranjado, casamento organizado, como previsto

abandoned	abandonado, desamparados, rejeitado, abolida, propriedade abandonada, mina abandonada, casa abandonada

delivered	entregue, fornecidos, fornecido, preço de custo, bens fornecidos, bens entregues, serviços prestados
china	porcelana, China

arrangements	acordos, disposições, providências, arranjos, tomar providências, planos de viagem, preparativos de viagem, providências de viagem, organização da viagem, disposições institucionais, arranjos institucionais, acordos institucionais, mecanismos institucionais
agenda	agenda, ordem do dia, trabalhos, ordem de trabalhos

hunting	caça, venatório, procura de emprego, pavilhão de caça, estalagem de caça, terreno de caça, território de caça

theater	teatro, cinema, auditório, palco, cinema, sala de cinema, teatro municipal, peça de teatro, peça teatral
series	série, séries, sucessão, sucessão, seriada, série de tempo, série cronológica, série histórica, série de casos, série de TV, série televisiva, seriado de TV, série de televisão, séries de TV
literally	
propose	propor, sugerir, proposto, prevista, oferecidos, proponente, transação proposta, operação prevista

honesty	honestidade, integridade, sinceridade
basketball	basquete, basquetebol, quadra de basquete, quadra de basquetebol, basquetebol em cadeira de rodas, jogadora de basquete, jogador de basquetebol
underneath	sob, ·debaixo de, ·embaixo de, abaixo
forces	forças, exército, energias, forças motrizes, forças propulsoras, forças motoras, unir forças, forças de cisalhamento, forças de corte
soldier	soldado, militar, soldado raso, meninos-soldados, soldado de brinquedo
services	serviços, prestações, serviços empresariais, serviços financeiros, serviços profissionais, serviços corporativos, serviços de assessoria, serviços de aconselhamento, serviços consultivos, prestação de serviços, fornecimento de serviços, provisão de serviços, prestação do serviço
sauce	molho, caldo, calda, caçarola, tacho, vasilha, pires, molho de soja
review	revisão, avaliação, relatório, revisar, rever, analisar, examinar, revisto, revisado, analisado, examinado, avaliação pelos pares, análise pelos pares, revisão por pares, revisão pelos pares, revisor, avaliador, crítico, verificador


lecture	palestra, conferência, repreender, professor, docente, conferencista, palestrante, palestras, conferências, ministrado

eighty	
brandy	aguardente, conhaque, cachaça, aguardente de cerejas, aguardente de ameixa



torn	rasgado, rasgados, arrancados, dividida
shocked	chocado, espantado, abalado, surpreendido
relief	alívio, ajuda, socorro, relevo, tutela de urgência, medida preventiva, válvula de alívio, válvula de descompressão, válvula limitadora de pressão, medida justa


