virus	vírus, vírus, viroses, verificador de vírus, verificador de vírus
horses	cavalos, equídeos, equinos, ferradura, cavalos de Tróia, caranguejo-ferradura
golf	golfe, jogar golfe, campo de golfe

explained	explicado, explanado, explicitada, exposto, variância explicada, variação explicada
counter	contador, balcão, guichê, numerador, combater, contrariar, contrapartida, contraparte, equivalente, homólogo, contrariar, neutralizar, falsificado, contrafeitos, falso, contrafeita, falsificação, contrafação, pirataria, moeda falsa, falsificar


design	design, concepção, projeto, desenho, projetar, desenhar, conceber, planejar, destinado, projetado, concebido, criador, estilista, desenhista
circle	círculo, roda, circuito, circunferência, circular, círculo interno, círculo interior, círculo mais restrito, círculo íntimo, circulado, círculo completo, volta completa, circunferência completa

transfer	transferência, transmissão, transporte, transferir, trocar, transferência bancária, transferência eletrônica, transferência electrónica

response	resposta, reação, resposta de emergência, intervenção de emergência, reação de emergência, resposta rápida, pronta resposta, resposta pronta, resposta imediata, taxa de resposta, índice de resposta, grau de resposta
channel	canal, via, canaleta, canais, vias, estações, canalizado, encanada, encaminhamento
backup	backup, cópia de segurança, apoio, reserva, auxiliar, auxiliares, backups, cópias
identity	identidade, identificação, roubo de identidade, usurpação de identidade, furto de identidade, usurpação da identidade, identidade, carteira de identidade, bilhete de identidade, documento de identidade, identidade corporativa, identidade empresarial, imagem corporativa

campus	campus, campus universitário, campus da universidade
spy	espião, espionar, espiar algo/alguém, espionagem, espionar, espionar alguém, espiar alguém, rede de espiões
ninety	
interests	interesses, participações, direitos, juros, interesses empresariais, interesses de negócio, interesses profissionais, participações não controladoras, interesses concorrentes, interesses em conflito, interesses competitivos, interesses conflitantes
guide	guia, condutor, manual, guiar, dirigir algo/alguém, conduzir, instruir, orientação, diretriz, guia, linha de orientação, guiado, orientado, norteado, pautado, guia do usuário, guia do utilizador, manual do usuário, manual do utilizador


deck	convés, baralho, tabuleiro, terraço, cobrir, cabina de pilotagem, cabine de pilotagem, convés de vôo, tabuleiro de ponte, andar superior, convés superior
biological	biológico, ciências biológicas, risco biológico, atividade biológica



minor	pequeno, pequenos, minoritário, reduzida, menor, minoria, menoridade, direitos das minorias
ease	facilidade, simplicidade, tranqüilidade, facilitar, aliviar, acalmar algo/alguém, atenuar, cavalete, tripé, armação, relaxada, à vontade, com tranquilidade, servidão, alívio
creep	pulha, rastejo, deslizamento, arrastar-se, assustador, bizarro, esquisito, horripilante, rasteira, crescente, longa, insidiosa, trepadeira, rastejador

waitress	garçonete, empregada de mesa


telephone	telefone, telefonar, ligar, número de telefone, central telefônica, lista telefónica, catálogo telefônico, lista telefônica, lista de telefones



ripped	rasgados
raising	levantamento, levedante químico, aumento de capital, captação de recursos, angariação de fundos, obtenção de fundos
scratch	arranhar, coçar, eliminar, apagar, risco, arranhão, rabisco, do zero, raspagem, arranhado, riscado, desgastada
rings	anéis, argolas, toques, anéis de cebola, anéis de pistão, anéis do pistão, anéis retentores
prints	impressões, estampas, cópias, gravuras, projeto, projecto
flower	flor, florescer, florir, floração, florescimento, florescência, florescentes, florido, rendado
wave	onda, vaga, ondulação, leva, acenar, ondular, tremular, comprimento de onda, longitude de onda, vacilar, hesitar, titubear, ondulado

arguing	
royal	real, régio, imperial, realengo, direitos, realeza, direitos de acesso, direitos autorais, carta real
laws	leis, legislação, legislações, normas, processo, ação judicial, ação legal, processo judicial, leis de segurança, cumprimento de leis, observância das leis
figures	valores, figuras, dados, números, números-chave, índices, factos e números, factos e valores, números de vendas, índices de vendas, valores das vendas



writer	escritor, escritora, autor, redator, bloqueio de escritor, redator técnico, escritor técnico, escritor contribuinte
reception	recepção, acolhimento, acolhida, receptividade, recepcionista, recepção, balcão de atendimento, balcão da recepção, recepção de casamento, festa de casamento
pin	pino, distintivo, alfinete, cavilha, colocar, alfinetar, depositar, pregar, pitada, beliscadura, aperto, beliscão, apertar, beliscar algo/alguém, beliscar alguém, localizar, apontar, identificar

gt	
diner	lanchonete, comensal, comensais
annoying	irritante, irritantes, desagradável, chato, abacaxi, problema irritante, problema chato


goal	objetivo, meta, gol, golo, meta final, meta última, meta principal, objetivo último, goleiro, goleira, goleiro
council	conselho, concílio, junta, câmara municipal, câmara municipal, conselho municipal, conselho da cidade, comité de empresa, conselheiro, vereador, conselheira, vereadora
mass	massa, missa, quantidade, eucaristia, maciço, enorme, massivo, grande
ability	capacidade, habilidade, competência, faculdade, capacidade de pagamento, capacidade comprovada, habilidade provada, habilidade comprovada, conhecimento do idioma, capacidade linguística, competência linguística
sergeant	sargento, brigadeiro, sargento, primeiro sargento

international	internacional, internacionais, externas, comércio internacional, comércio mundial, comércio internacional, negócio internacional, comércio exterior, assuntos internacionais, questões internacionais, assuntos externos, cena internacional


gig	show, concerto, risada, risadinha, risinho

blast	explosão, jateamento, jato, sopro, explodir, destruir, detonador, maldito, demolido, alto-forno
basic	básico, fundamental, de base, simples, fundamento, fundamentos, base, bases, educação básica, ensino básico, ensino fundamental, educação de base, dados básicos, dados de base, dados base
wing	asa, ala, asas, alas, bastidores, alado, parafuso de orelhas, parafuso de orelha
tradition	tradição, costume, tradicional, convencional, antigas, clássico, tradicionalista, curandeiro
towel	toalha, pano, toalha de papel, papel toalha, papel de cozinha, toalhete de papel, pano de prato, jogar a toalha, puxar a toalha


earned	ganho, auferido, obtidos, merecido, rendimento, rendimento do trabalho, rendimento auferido, rendimento ganho, rendimentos auferidos
clown	palhaço, palhaços, peixe-palhaço, bobo
rub	esfregar, friccionar, roçar, fricção, borracha, caucho, lixo, detrito, entulho, refugo

habit	hábito, costume, vício, traje, habitual, habituais, usual

creature	criatura, seres, seres vivos, seres viventes, criaturas vivas, criaturas viventes, criaturas semelhantes
counts	


snap	estalo, foto, instante, estalar, quebrar, tirar foto instantânea, rápida, instantâneo, precipitada, instantâneo, retrato, foto, fotografia, encaixados

react	reagir, responder, reação, resposta, reativo, reactivo, reagente, sensíveis, reatividade
prime	primeiro, principal, privilegiado, central, preparar, auge, juventude, apogeu, cartilha, manual, escorva, escorvador
paranoid	paranoico
pace	ritmo, velocidade, passo, andamento, marca-passo, ritmo acelerado, ritmo rápido, passo rápido, ritmo veloz, marcar o ritmo, decidir o ritmo


handling	manuseio, tratamento, manuseamento, processamento, manual, de manobra, taxa de manuseio, taxa de tratamento, taxa de operação, taxa de manuseamento, movimentação manual, tratamento manual, manuseamento manual, manuseio manual, manuseio de material, manipulação de material, manipulação de materiais, movimentação de materiais
eaten	
dahlia	dália
therapist	terapeuta, terapeuta da fala, terapeuta ocupacional
comment	comentário, observação, nota, comentar, observar, comentário, comentarista, comentador, comentados
charged	cobrado, carregado, pago, altamente carregado, emotivo, de grande carga emocional, valor cobrado
tax	fiscal, fiscais, tributário, tributárias, imposto, tributação, taxa, fiscalidade, taxar, tributar, sobrecarregar algo/alguém, esgotar, imposto sobre rendimento, imposto de renda, Imposto sobre rendimentos
sink	pia, lavatório, dissipador, tanque, afundar, cair, baixar, entrar, naufrágio, afundamento, submersão, dissipador de calor, dissipador térmico, sumidouro térmico, afundar-se em algo



priority	prioridade, preferência, primazia, prioritário, principal, principais, fundamentais, principal prioridade, máxima prioridade, alta prioridade, primeira prioridade, alta prioridade, grande prioridade, elevada prioridade, prioridade alta, primeira prioridade, principal prioridade, prioridade principal, prioridade absoluta


gain	ganhar, obter, conseguir, adquirir, ganho, benefício, vantagem, proveito, adquirido, conquistado, ganhado, obtido, ganhos, conquistas, vantagens, lucros, mais-valias, ganhos de capital
fed	alimentados, fornecido, introduzido, integrados, farto

warehouse	armazém, depósito, almoxarifado, empório, armazenamento de dados, entreposto, depósito alfandegado, armazém alfandegado, recinto alfandegado, administrador do depósito, gerenciador de armazém, encarregado do armazém

shy	tímido, acanhado, envergonhada, envergonhadas, espantar-se, timidez, acanhamento, timidamente, gato escaldado de água fria tem medo
pattern	padrão, modelo, comportamento, motivo, moldar, típico, padronizado, estampado, circuito de espera
loyalty	lealdade, fidelidade, dedicação, fidelidade do cliente, fidelidade dos clientes, fidelização do cliente, fidelidade de clientes, fidelidade à marca, lealdade à marca, programa de fidelização, programa de lealdade
inspector	inspetor, inspector, fiscal, inspecção, inspeção, inspector chefe

candle	vela, lamparina, círio, velas, castiçal, candeia, candelabro, candeeiro, luz da vela
pleasant	agradável, agradáveis, prazeroso, aprazível, simpatia, agradabilidade, estadia agradável, agradável estadia, boa estadia, excelente estadia, maneira agradável, forma prazerosa, forma agradável
media	meios de comunicação, mídia, comunicação social, mídia social, redes sociais, mediano, intermediário
excuses	desculpas, justificativas
duke	duque, ducado, duques
castle	castelo, torre, paço, castelo real, castelo de água, fazer castelos nas nuvens
threats	ameaças, riscos, perigos, ameaças à segurança, riscos de segurança, ameaças para a saúde, ameaças de saúde, ameaças sanitárias, ameaças de morte

permanent	permanente, permanentes, constante, contínuo
guessing	
financial	financeiro, econômica, pecuniárias, bancárias, demonstrações financeiras, demonstrações contábeis, relatórios financeiros, posição financeira, ficha financeira, relatório financeiro, demonstrativo financeiro, balanço financeiro, diretor financeiro, director financeiro
demand	demanda, procura, exigência, demandar, exigir, pedir, requerer, exigente, rigoroso, difíceis, complexo, sob demanda, mediante pedido

basket	cesto, cabaz, cesta, basquete, basquetebol, carrinho de compras, cesto de compras, cesta de compras, cabaz de compras, quadra de basquete, quadra de basquetebol
assault	agressão, assalto, ataque, atentado, assaltar, atacar algo/alguém, agressão sexual, abuso sexual, violência sexual, assédio sexual, agredido, atacado, agredidas, violentadas, furtos e roubos

tend	tender, cuidar, tratar, concurso, proposta, oferta, adjudicação, terno, suave, macio, tenro

motive	motivo, razão, causa, motivação, força motriz, força motivadora, energia motriz, segundas intenções, motivos posteriores, motivos ocultos, força motriz, força motora

unconscious	inconsciente, inconscientes, sem sentidos, desacordado, inconsciência, mente inconsciente, inconsciente coletivo
trained	treinado, capacitados, formado, capacitado, totalmente treinado, pessoal treinado, equipe treinada, profissionais formados, profissionais qualificados


museum	museu, museológico, conservador de museu, museu de arte, museu de ciências

alley	beco, viela, ruela, ruazinha, ruela, beco, vielas, becos, ruelas, ruazinhas, boliche, pista de boliche
tracks	pistas, faixas, trilhos, músicas, agasalho esportivo, fato de treino para desporto, trilhos do trem, vias férreas, linhas ferroviárias, trilhos de trem, trilhos do trem
swimming	natação, nado, fato de banho, nado sincronizado, natação sincronizada, óculos de natação
range	gama, variedade, faixa, variar, oscilar, percorrer, ampla gama, vasta gama, ampla variedade, amplo leque, guarda-florestal, guardião
nap	cochilo, soneca, cochilada, cochilar, guardanapo, nuca, fralda
mysterious	misterioso, inexplicável, obscuro, acontecimento misterioso
unhappy	infeliz, infelizes, descontentes, descontente, casamento infeliz, situação infeliz
tone	tom, tonalidade, som, sinal sonoro, harmonizar, toner, tinta
switched	comutado, chaveada, alternado, acionado, desligado, apagada, desativado, ligado, acionada, conectado


liberty	liberdade, privação de liberdade, liberdade individual, liberdade civil
bang	explosão, estrondo, pancada, bater, franjas, franja, estrondos, estrondo
award	prêmio, adjudicação, concessão, prémio, premiar, conceder, conferir, adjudicar, concedidos, distinguido, oferecidos, galardoado, adjudicantes, adjudicador

neighbor	vizinho, próximo, semelhante, proximidades, redondezas, quarteirão, vizinhos, vizinho, limítrofe
loaded	carregado, colocado, cheio, embarcadas, introduzidas, arma carregada
gut	intestino, estômago, tripa, tubo digestivo, caleira, calha, sarjeta, coragem, entranhas, vísceras, tripas, garra, eviscerado, limpo

childhood	infância, meninice, infantil, primeira infância, infância precoce, mais tenra idade, amigo de infância, casa de infância
causing	causadora, causal

sample	exemplo, mostra, prova, exemplar, experimentar, provar, amostras, amostra, exemplares, amostragens, amostrados, amostradas, colhidas, provado, amostra
piss	mijo, mijar, bravo, bêbado, chateado, bravo, Cai fora!

balance	balanço, saldo, equilíbrio, conta, equilibrar, pesar, contrabalançar, nivelar, balanço, equilibrado, balanceada, de equilíbrio, compensado
background	fundo, histórico, contexto, antecedentes, informação de base, informações básicas, informações de base, informação de suporte, inquérito pessoal, verificação de antecedentes, checagem de antecedentes, verificação dos perfis, formação, formação acadêmica, formação educacional, antecedentes educacionais
toss	lançar, atirar, lance, arremesso, atirado
mob	multidão, turba, ralé, atacar, amotinar, móvel, móveis, portáteis, portátil, celular, telemóvel
misery	miséria, sofrimento, desgraça, infelicidade, retrato de miséria
central	central, centrais, principal, importante
boots	botas, sapatos de segurança, botinas de segurança, botas de borracha, chuteiras, calçado de futebol

thief	ladrão, bandido, assaltante, ladra, ladrão de carro, ladrão de carros, ladrão de automóveis, mestre ladrão, ladrão de cavalos
squeeze	aperto, compressão, apertar, espremer, comprimir, abraçar, espremido, comprimidos, reduzida, prensada, espremedor, contracção do crédito, aperto do crédito, declínio do crédito
potter	oleiro, ceramista, cerâmica, olaria, oleiros, olarias
lobby	vestíbulo, saguão, salão, átrio, pressionar, tentar influenciar, lobista, entrada do hotel, vestíbulo do hotel, átrio do hotel, lobby principal, saguão principal



exercise	exercício, prática, exercer, exercitar, aplicar, exercícios, manobras, exercido, exercida, exercidos, exercitados, executadas, executado, desempenhadas, cauteloso, preço de exercício
ego	ego
drama	drama, teatro, dramaturgia, dramático, contundente, grave, drástica

patience	perseverança, paciência de Jó, prova de paciência
noble	nobre, nobres, ilustre, honesto, nobre, fidalgo, nobres, nobreza



forth	adiante, apresentar, próximo, próxima, futuras, futura, para frente e para trás
facing	virado, voltados, faceada, revestimento, adorno, ferramenta de facetamento
engine	motor, mecanismo, máquina, locomotiva, engenharia, manobra, engenheiro, engenheira, coordenador, maquinista, construir, projetar, projetada, projetado, desenvolvido, projetados
booked	reservado, registada, marcado, registados, totalmente reservado, completamente lotado, reservado
boo	vaia, vaiar algo/alguém, aumentar, estimular, fomentar, incentivar, impulso, aumento, estímulo, incentivo, livro, obra, manual, reservar

songs	canções, músicas, canções populares, canções de amor, músicas românticas, músicas pop

poker	pôquer, cara de blefe
eighteen	dezoito, décimo oitavo
d'you	
cookie	cookie, bolacha, biscoito, cortador de biscoitos, biscoito da sorte
bury	sepultar, enterrar o machado de guerra
perform	realizar, executar, fazer, funcionar, desempenho, performance, rendimento, atuação, realizado, executados, executado, feito

everyday	cotidiano, quotidiano, diário, quotidianas, quotidiano, vida diária, vida quotidiana, cotidiano, vida quotidiana, vida cotidiana, uso diário, uso quotidiano, utilização diária, utilização quotidiana
digging	escavação, escavação, escavação, escavações

creepy	assustador, bizarro, esquisito, horripilante, animais rastejantes e estranhos
compared	comparada, relacionados, equiparados, confrontados, comparado com, comparada com, comparado com, em comparação com, ·em relação a

trail	trilha, pista, caminho, rastro, rastrear, seguir a pista de algo/alguém, ficar para trás, arrastar, reboque, trailer, atrelado, pista de auditoria, trilha de auditoria, pista de controlo, registro de auditoria
saint	santo, santo, padroeiro, santo padroeiro, santo patrono, santa padroeira, santidade
rotten	podre, podres, apodrecido, deterioradas, ovo podre, podridão, apodrecimento, corrupção, comida estragada
liver	fígado, doença hepática, doença do fígado, fígado gorduroso, fígado gordo, insuficiência hepática, falência hepática
hmmm	
drawn	desenhada, desenhadas, elaborados, sorteado, elaborado, redigido, elaboradas, estabelecido, conclusões retiradas, conclusões tiradas, peças desenhadas
device	dispositivo, aparelho, equipamento, mecanismo, número do dispositivo, dispositivos médicos, instrumentos médicos, equipamentos médicos, dispositivos medicinais, dispositivo móvel, celular, aparelho móvel, aparelho celular
whore	prostituta, rameira, puta, meretriz, piranha, vadia, puteiro, prostituição, devasso

magical	mágico, momento mágico, mundo mágico

village	aldeia, vila, povoado, povoação, rural, aldeãs, habitantes, aldeões, aldeãos, moradores, aldeão, vila piscatória, vila de pescadores, aldeia piscatória, vilarejo de pescadores
march	marcha, caminhada, manifestação, marchar, desfilar, março, fanfarra
journey	viagem, jornada, caminho, percurso, viajar, artífice, viagem de ida
fits	ajustes, convulsões
discussed	discutido, debatido, debatidas, tratados, temas abordados, pontos discutidos, temas debatidos, tópicos discutidos, tópicos debatidos
zombie	zumbi
supply	fornecimento, abastecimento, fonte, oferta, fornecer, suprir, abastecer, prover, cadeia de fornecimento, cadeia de suprimento, cadeia de suprimentos, cadeia de fornecedores, fonte de energia, fonte de alimentação, fornecimento de energia, alimentação eléctrica, abastecimento de água, fornecimento de água, suprimento de água, distribuição de água
moral	morais, ético, lição, moral, motivação, ânimo
helpful	útil, prestativo, conveniente, relevantes, ajuda, auxílio, utilidade, solicitude, dicas úteis, conselhos úteis, dicas úteis, sugestões úteis
attached	anexo, anexado, em anexo, arquivo anexado, arquivo anexo, ficheiro em anexo, ficheiro anexado, documento anexo, documento anexado, documento em anexo, documento em anexo

slut	vadia, meretriz, puta, vagabunda, vagabundas
searching	intensa, penetrante, inquisitivo, procura de emprego
flew	
depressed	deprimido, reduzido, fraca, pobres, humor depressivo, território deprimido, zona deprimida, região deprimida, zona desfavorecida, zonas deprimidas, áreas deprimidas

aisle	corredor, nave, assento no corredor, corredor estreito, corredor central
underground	metro, metrô, metropolitano, subterrâneo, enterrado, clandestino, clandestinamente, mineração subterrânea, extracção subterrânea, extração subterrânea, economia subterrânea, economia paralela, economia clandestina, passar à clandestinidade
pro	profissional, a favor, a favor de, fornecer, proporcionar, dar, estabelecer, aquisição, compra, adjudicação, suprimento

daughters	filhas, noras, filhas do rei

amen	amém, alteração, emenda, revisão, modificação, emendar, corrigir, retificar, amenidades, comodidades, cortesias

proposal	proposta, pedido, pedido de proposta, solicitação de proposta, anúncio de concurso, rascunho de proposta
pit	poço, fosso, cova, fossa, opor, descaroçar, campo, passo, inclinação, breu, jogar, assentar, plantar, montar, pena, piedade, compaixão, lástima
neighbors	vizinhos
darn	cerzir, maldito, agulha de cerzir, joio
clay	argila, barro, saibro, cerâmico, argilas, barros, argiloso, massa de modelagem, massa para modelar
cents	cêntimos, centavos de euro
arrange	organizar, arranjar, dispor, arrumar, acordo, arranjo, disposição, mecanismo, acordos, disposições, providências, arranjos, organizado, marcado, disposta, dispostos
annulment	anulação, nulidade, revogação, rescisão, ação anulatória, recurso de anulação, pedido de anulação, anulações
uses	usos, utilizações, fins, empregos, uso múltiplo, usos possíveis, utilizações possíveis, possíveis usos, possibilidades de utilização, possibilidades de uso
useless	inútil, inúteis, imprestável, desnecessária, inutilidade, material inútil
squad	esquadrão, pelotão, plantel, seleção, pelotão de fuzilamento, pelotão de execução, esquadrão, esquadra, brigada móvel
represent	representar algo/alguém, constituir, descrever, mostrar, representante, representativo, representada, significativas, representação, agente, mandatário, substituto
product	produto, produção, resultado, produção, produto, fabricação, fabrico, gama de produtos, gama de produto, linha de produtos, linha de produto, responsabilidade pelo produto, responsabilidade pelos produtos
joined	unidos, unidas, unido, juntos, processos apensos, mãos juntas, reflexão conjunta, pensamento conjunto, pensamento integrado, ponderação em conjunto
afterwards	depois, posteriormente, mais tarde
adventure	aventura, aventureiro, aventureiro, turismo de aventura
resist	resistir, combater, enfrentar
protected	protegido, seguro, tutelado, tutelados, áreas protegidas, zonas protegidas, unidades de conservação, espaços protegidos, área protegida, zona protegida, lugar protegido, marca protegida
net	líquido, concreto, rede, malha, filó, enredar, rede, interligar, reticular

fourteen	catorze, ·quatorze, décimo-quarto
celebrating	celebrante

piano	piano, piano de cauda, corda de piano
inch	polegada, polegadas
flag	bandeira, estandarte, bandeirola, referência, sinalizar, estandarte, porta-estandarte
debt	dívida, débito, endividamento, défice, devedor, devedora, insolvência, dívida líquida, endividamento líquido
darkness	escuridão, trevas, obscuridade, coração das trevas, completa escuridão, escuridão completa, escuridão total
violent	violento, intenso, brutal, embrutecida
tag	etiqueta, marca, identificador, rótulo, etiquetar, etiquetar algo, marcar algo, marcado, etiquetado, etiquetadas, rotulados, slogan, mote, marcação, identificação, etiquetagem
sand	areia, areal, arenito, grés, sandálias, sanduíche
gum	goma, gengiva, chiclete, gengival, gomoso, chiclete, gengivite, doença das gengivas, doenças gengivais, doença periodontal
dammit	

strip	tira, faixa, pista, lâmina, remoção, descortiçamento, descascamento, desforma, despojado, despido, arrancada, removidos, listrado, rajada, estriado

hip	quadril, anca, badalados
celebration	celebração, festa, comemoração, cerimônia, festa de aniversário, comemoração de aniversário, celebração do aniversário, comemoração do aniversário, celebração de jubileu, festa de família, festa familiar, celebração familiar
below	abaixo, abaixo de, ·sob, ·embaixo de, abaixo, em baixo, abaixo da paridade, abaixo do valor real, abaixo do nível do solo, embaixo do solo
reminded	relembrados, recordado, relembrado
palace	palácio, palácio presidencial, palácio do prazer, paço ducal
claims	reivindicações, créditos, pedidos, reclamações, reclamações de garantia, pedidos de indemnização, reclamações de responsabilidade, reivindicações de responsabilidade, regularização dos sinistros, resolução dos sinistros, pagamento das compensações

replace	trocar, repor, devolver, substituição, reposição, substituto, troca, substituído, reposto, substituíveis, mudados, substituível, substituíveis

paperwork	papelada, documentação, burocracia, documentos, documentação necessária, papelada necessária, burocracia necessária, documentação solicitada
mighty	poderoso, forte, impetuoso, gigantesco, forte rio, poderoso rio, vento forte



typical	típico, característico, normal, próprios, dia típico, dia comum, dia normal, aplicações típicas, valores típicos
stubborn	teimoso, obstinado, resistente, persistentes, teimosia, obstinação, manchas difíceis, manchas persistentes, nódoas difíceis
stable	estável, estáveis, seguro, sustentável, estábulo, cavalariça, curral, cocheira, união estável, abastecimento estável, fornecimento estável, suprimento estável, aprovisionamento estável, estábulo de cavalos, estábulo para cavalos

pound	libra, libra esterlina, bater, encurralar, pilar, palpitante, esmagado, libra esterlina
pillow	travesseiro, almofada, descanso, fronha, mancal, travesseiro de penas
papa	mamão, papaia
mature	maduro, adulto, amadurecido, curado, amadurecer, vencer, amadurecido, maturado, envelhecido, maduro, mercado maduro, mercado consolidado, produto maduro, produto consolidado
lap	volta, colo, regaço, dobra, laptop, portátil, computador portátil, lapso, caducar, prescrever, errar, escoar
designed	destinado, projetado, concebido, intencionalmente, capacidade prevista
current	atual, corrente, atuais, presente, corrente, correnteza, activos correntes, ativo circulante, ativos correntes, conta atual, passivos correntes

bum	vagabundo, malandro, parasita, traseiro, ordinário, bater, sacolejar, chocar-se, colisão, galo, pancada, impacto, pára-choques, para-choque, amortecedor
tension	tensão, tensor, tensionadas, tensionado, esticados, tenso
tank	tanque, reservatório, depósito, aquário, grupo de reflexão, laboratório de ideias, grupo de pesquisa, banco de idéias, petroleiro, tanque, navio-tanque, navio-cisterna, navios-tanque
suffered	sofrido, sofridas, causados, ocorrida, prejuízos sofridos, danos sofridos
stroke	curso, derrame, AVC, volume sistólico, comprimento da pincelada, derrame isquêmico, acidente vascular isquêmico
